Age,Gender ,"How many hours per day do you study on average?  (Include self-study, assignments, and revision. Enter a decimal if needed, e.g., 2.5)",What is your approximate class attendance percentage this semester? ,What is your CGPA? * ,What was your last semester's SGPA? (Enter your most recent semester GPA),"How many hours per day do you spend on social media? (Include Instagram, TikTok, Twitter/X, YouTube Shorts, etc.)",How many hours of sleep do you get per night on average? ,How would you describe your diet quality? ,"How many days per week do you exercise or do physical activity?  (Include gym, sports, walking, cricket, football, etc.)","Which societies or clubs are you a member of at GIKI? (Write N/A if none. Examples: GIKI ACM, IEEE, GIKI Literary Society, Sports Board, GIKI Debate Club)"
20,Male,0.5,49,2.05,2.07,11.0,5.7,Average (Mix of healthy and unhealthy),1-2 days,
19,Male,2.0,70,2.57,2.65,11.5,7.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,IEEE
20,Male,0.9,59,2.67,2.7,0.8,4.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,AIAA
19,Male,3.9,73,3.29,3.16,0.5,7.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,AIAA
20,Male,1.8,69,2.8,2.77,3.0,8.4,Average (Mix of healthy and unhealthy),1-2 days,AIAA
22,Female,2.2,76,2.72,2.73,1.0,5.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
21,Prefer not to say,1.4,60,2.53,2.47,3.0,9.3,Average (Mix of healthy and unhealthy),0 days,
20,Male,0.7,56,2.68,2.69,3.2,9.1,Average (Mix of healthy and unhealthy),5-6 days,
22,Male,0.7,55,3.04,3.03,1.0,9.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,ACM
19,Male,5.4,85,3.27,3.29,0.5,7.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,IEEE
19,Male,0.5,56,2.33,2.32,3.8,4.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,ACM
20,Female,0.5,69,2.71,2.64,2.9,6.7,Average (Mix of healthy and unhealthy),1-2 days,
19,Male,1.4,66,3.0,2.97,2.9,6.5,"Excellent (Well-balanced, fresh food)",3-4 days,LES
19,Male,1.4,36,2.69,2.76,1.0,4.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,0.5,15,2.31,2.3,10.0,7.7,Average (Mix of healthy and unhealthy),3-4 days,"IEEE, ACM"
19,Female,1.1,39,2.96,3.05,0.6,5.3,Average (Mix of healthy and unhealthy),3-4 days,LES
19,Female,4.0,72,3.34,3.38,0.5,7.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,ACM
20,Male,0.6,100,2.43,2.44,2.3,7.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,AIAA
22,Male,0.6,39,2.87,2.95,0.5,5.0,"Excellent (Well-balanced, fresh food)",3-4 days,
19,Male,0.5,46,2.28,2.18,14.0,7.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
19,Male,0.5,42,2.88,2.99,3.2,8.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
20,Male,4.0,40,2.73,2.91,3.2,6.1,Average (Mix of healthy and unhealthy),3-4 days,
21,Male,0.5,31,2.41,2.47,7.6,4.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Male,0.5,83,2.79,2.88,4.1,7.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,ACM
21,Male,1.2,80,2.69,2.74,2.9,5.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
18,Male,2.4,31,2.8,2.85,4.3,8.8,"Excellent (Well-balanced, fresh food)",0 days,LES
20,Male,7.9,51,3.34,3.29,0.5,4.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,LES
19,Male,7.0,45,2.79,2.91,4.2,7.0,Average (Mix of healthy and unhealthy),0 days,IEEE
21,Male,1.6,38,2.48,2.52,9.3,9.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
21,Female,0.7,44,2.65,2.59,0.9,6.4,Average (Mix of healthy and unhealthy),5-6 days,LES
23,Male,2.1,82,3.07,3.09,0.9,5.4,Average (Mix of healthy and unhealthy),5-6 days,
20,Male,0.5,48,2.35,2.31,14.0,7.5,Average (Mix of healthy and unhealthy),0 days,AIAA
18,Male,2.4,67,2.91,2.98,0.8,5.9,Average (Mix of healthy and unhealthy),0 days,
20,Male,3.7,53,3.1,2.96,4.2,8.4,Average (Mix of healthy and unhealthy),3-4 days,AIAA
19,Female,2.2,68,2.95,2.97,1.0,5.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Female,1.8,66,2.78,2.67,0.8,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
18,Male,3.8,54,3.0,2.96,1.9,7.0,Average (Mix of healthy and unhealthy),3-4 days,
21,Male,0.8,41,2.56,2.6,5.4,6.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,ACM
21,Female,3.4,89,2.8,2.77,12.2,8.4,Average (Mix of healthy and unhealthy),7 days,
21,Female,3.4,67,2.85,2.93,0.8,6.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,ACM
21,Male,1.5,65,2.64,2.63,7.6,9.0,"Excellent (Well-balanced, fresh food)",1-2 days,ACM
22,Male,1.6,46,2.77,2.75,1.4,7.1,Very Poor (Highly reliant on junk food and caffeine),5-6 days,
20,Male,3.0,59,2.84,2.86,7.1,6.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,AIAA
19,Male,1.7,67,3.1,2.96,0.5,6.9,Average (Mix of healthy and unhealthy),1-2 days,ACM
21,Male,0.5,57,2.46,2.48,2.2,5.4,Average (Mix of healthy and unhealthy),0 days,
19,Male,8.9,64,2.92,2.82,5.3,6.8,Average (Mix of healthy and unhealthy),1-2 days,
19,Female,2.8,88,3.06,3.11,0.5,8.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,ACM
19,Male,0.9,77,3.11,3.12,6.4,7.1,"Excellent (Well-balanced, fresh food)",5-6 days,
18,Male,1.6,100,3.26,3.12,0.5,6.4,Average (Mix of healthy and unhealthy),0 days,
21,Female,1.2,50,2.59,2.52,4.3,3.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Female,0.7,34,2.5,2.52,4.9,4.0,Average (Mix of healthy and unhealthy),1-2 days,
21,Female,1.8,41,2.64,2.64,4.5,6.3,"Excellent (Well-balanced, fresh food)",7 days,IEEE
20,Male,1.1,24,2.46,2.46,0.6,5.8,Average (Mix of healthy and unhealthy),7 days,LES
19,Male,10.0,59,3.42,3.32,10.2,7.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
21,Male,4.1,45,3.1,3.11,2.1,6.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,AIAA
21,Prefer not to say,1.3,97,2.49,2.46,10.8,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
23,Male,3.8,69,3.18,3.18,14.0,6.9,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,ACM
20,Male,0.5,59,2.9,2.88,1.2,5.7,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
22,Female,5.6,69,3.45,3.41,0.7,5.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,ACM
20,Male,0.6,73,2.9,2.91,0.8,5.8,Average (Mix of healthy and unhealthy),1-2 days,
19,Male,3.3,15,2.43,2.53,5.0,8.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
21,Female,1.7,100,2.75,2.68,1.8,4.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,AIAA
19,Prefer not to say,2.4,53,2.32,2.44,10.6,4.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,LES
20,Male,0.5,38,2.51,2.56,7.6,7.8,Average (Mix of healthy and unhealthy),1-2 days,IEEE
22,Male,1.5,85,2.64,2.62,1.9,7.4,Very Poor (Highly reliant on junk food and caffeine),3-4 days,LES
21,Female,7.6,50,3.17,3.19,2.4,5.4,Average (Mix of healthy and unhealthy),3-4 days,LES
22,Female,0.7,83,2.64,2.58,7.5,6.7,Average (Mix of healthy and unhealthy),0 days,ACM
18,Male,8.7,94,3.46,3.55,0.6,6.5,Average (Mix of healthy and unhealthy),1-2 days,
20,Male,4.0,79,2.89,2.89,3.6,9.4,Average (Mix of healthy and unhealthy),5-6 days,AIAA
21,Male,3.3,35,2.63,2.6,7.0,5.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
19,Male,0.5,61,2.82,2.73,0.7,7.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
22,Male,1.6,100,2.49,2.42,0.5,7.4,Average (Mix of healthy and unhealthy),1-2 days,ACM
18,Male,0.6,49,2.2,2.18,14.0,5.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,1.8,98,3.14,3.07,2.1,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Female,10.0,15,3.36,3.38,7.5,10.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,AIAA
18,Prefer not to say,1.1,78,2.84,2.85,6.9,7.2,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
20,Male,5.9,42,2.43,2.36,11.7,5.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,LES
21,Female,1.2,46,2.65,2.58,4.5,7.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
19,Male,0.9,39,2.42,2.46,0.7,4.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,IEEE
20,Male,1.8,61,2.87,2.92,4.7,4.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,LES
21,Female,0.7,72,2.32,2.46,5.8,5.8,Average (Mix of healthy and unhealthy),1-2 days,AIAA
22,Male,1.9,50,2.97,2.99,2.7,8.1,Average (Mix of healthy and unhealthy),0 days,
23,Male,2.7,53,3.09,3.19,0.7,4.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Male,2.0,34,2.52,2.49,1.0,7.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
20,Male,0.6,72,2.34,2.36,9.5,3.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
21,Female,1.5,71,2.55,2.55,3.2,6.3,Average (Mix of healthy and unhealthy),3-4 days,ACM
18,Male,2.2,23,2.61,2.61,7.5,4.3,Average (Mix of healthy and unhealthy),1-2 days,IEEE
22,Male,2.9,56,2.99,2.97,1.2,5.9,"Excellent (Well-balanced, fresh food)",1-2 days,IEEE
20,Male,1.3,53,2.86,2.92,0.5,6.3,Average (Mix of healthy and unhealthy),5-6 days,
18,Male,2.8,30,2.88,2.9,4.3,8.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
20,Male,9.3,65,3.63,3.66,7.6,5.5,Average (Mix of healthy and unhealthy),5-6 days,
19,Male,3.4,15,2.34,2.28,2.3,7.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,IEEE
21,Male,0.5,77,3.09,3.07,1.5,8.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,"IEEE, ACM"
20,Male,0.5,48,2.46,2.44,11.0,5.3,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
19,Male,0.5,76,2.79,2.84,3.0,4.0,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
20,Male,1.9,67,3.02,2.99,2.1,6.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
19,Male,1.7,52,2.4,2.39,7.7,5.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,ACM
21,Male,0.9,43,2.51,2.46,3.4,6.6,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,1.1,40,2.68,2.68,1.6,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,ACM
22,Male,1.0,27,2.67,2.62,3.9,6.4,Average (Mix of healthy and unhealthy),5-6 days,
22,Male,3.8,45,2.97,2.8,3.5,4.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
20,Female,5.0,15,2.68,2.54,3.7,7.8,Average (Mix of healthy and unhealthy),3-4 days,AIAA
20,Female,2.5,52,2.85,2.93,1.3,4.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
21,Prefer not to say,3.3,51,2.93,2.84,4.4,9.0,"Excellent (Well-balanced, fresh food)",1-2 days,AIAA
18,Male,1.7,75,2.93,2.97,6.5,7.5,"Excellent (Well-balanced, fresh food)",3-4 days,
21,Male,0.8,56,2.75,2.73,1.9,5.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Female,0.5,84,2.75,2.66,6.0,7.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,IEEE
20,Male,0.5,52,2.18,2.14,5.4,5.1,Average (Mix of healthy and unhealthy),1-2 days,ACM
19,Male,0.5,53,2.32,2.42,8.4,5.4,Very Poor (Highly reliant on junk food and caffeine),3-4 days,
22,Female,2.9,72,2.92,2.97,0.5,6.6,Average (Mix of healthy and unhealthy),1-2 days,ACM
20,Male,1.5,47,2.13,2.13,14.0,7.4,Average (Mix of healthy and unhealthy),3-4 days,
22,Male,2.2,44,2.5,2.6,1.3,6.6,Average (Mix of healthy and unhealthy),1-2 days,
19,Female,1.6,21,2.63,2.62,2.2,6.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,LES
19,Female,1.7,49,2.9,2.9,1.6,8.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,ACM
20,Male,0.6,69,2.83,2.75,3.3,5.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Male,1.2,54,2.67,2.66,3.3,6.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,"IEEE, ACM"
21,Male,2.9,47,2.7,2.81,1.9,6.2,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,1.9,88,2.95,2.93,0.5,6.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
21,Male,10.0,29,3.58,3.54,1.7,3.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
18,Male,0.5,61,2.55,2.6,3.9,3.0,Average (Mix of healthy and unhealthy),5-6 days,
18,Female,3.0,55,2.85,2.89,0.6,6.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
19,Male,4.0,55,2.98,2.97,2.9,5.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Male,8.9,100,3.51,3.55,1.8,5.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
21,Male,1.7,54,2.56,2.6,3.5,7.0,"Excellent (Well-balanced, fresh food)",0 days,"IEEE, ACM"
20,Male,5.4,81,3.33,3.24,0.8,4.5,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,0.5,65,2.57,2.61,2.2,6.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"IEEE, ACM"
21,Male,2.2,66,3.02,3.25,4.2,6.7,Average (Mix of healthy and unhealthy),3-4 days,"IEEE, ACM"
19,Male,2.0,17,2.77,2.83,4.2,8.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,AIAA
19,Male,0.5,47,2.67,2.59,8.8,6.9,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
20,Male,9.5,77,3.66,3.66,2.3,6.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
20,Male,10.0,36,3.45,3.54,2.0,5.6,Average (Mix of healthy and unhealthy),1-2 days,AIAA
23,Male,3.4,82,2.41,2.3,9.4,5.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
22,Male,1.2,59,2.86,2.87,2.3,6.7,Average (Mix of healthy and unhealthy),5-6 days,
18,Male,4.5,100,3.27,3.12,2.8,6.5,Average (Mix of healthy and unhealthy),1-2 days,
22,Male,0.5,69,2.59,2.62,2.7,3.0,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
20,Male,0.5,56,2.44,2.46,7.0,7.6,Average (Mix of healthy and unhealthy),1-2 days,IEEE
19,Male,3.5,33,2.36,2.34,14.0,5.7,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,0.5,62,2.61,2.72,2.1,5.2,Average (Mix of healthy and unhealthy),7 days,ACM
20,Male,2.2,62,2.43,2.4,7.5,5.1,Average (Mix of healthy and unhealthy),1-2 days,
18,Male,0.5,15,2.37,2.34,2.3,6.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
20,Male,1.9,47,2.58,2.53,1.1,6.1,Average (Mix of healthy and unhealthy),5-6 days,"IEEE, ACM"
20,Male,0.9,66,2.99,2.94,1.5,6.1,"Excellent (Well-balanced, fresh food)",3-4 days,LES
18,Female,5.9,81,3.12,3.09,1.2,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,"IEEE, ACM"
20,Male,0.5,94,2.95,2.8,0.9,6.6,"Excellent (Well-balanced, fresh food)",1-2 days,IEEE
19,Male,4.0,87,2.77,2.7,0.5,5.2,Average (Mix of healthy and unhealthy),3-4 days,ACM
18,Male,3.4,44,2.56,2.43,6.1,4.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
19,Male,3.2,57,2.99,2.97,5.8,7.9,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,ACM
20,Male,6.3,58,2.92,2.82,2.6,6.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,ACM
21,Male,3.2,31,2.52,2.61,7.0,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,ACM
20,Male,2.0,34,2.8,2.79,7.3,5.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
21,Male,2.8,43,2.56,2.51,0.7,4.8,Average (Mix of healthy and unhealthy),1-2 days,
22,Prefer not to say,2.0,45,2.85,2.96,1.1,7.0,Average (Mix of healthy and unhealthy),1-2 days,
22,Male,1.8,51,2.52,2.46,5.0,5.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
18,Male,1.5,48,2.42,2.51,1.0,6.3,Average (Mix of healthy and unhealthy),1-2 days,AIAA
22,Male,10.0,15,3.38,3.48,4.2,4.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,ACM
18,Male,3.9,43,2.62,2.75,3.1,8.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
19,Male,0.5,59,2.93,2.83,1.4,5.8,Very Poor (Highly reliant on junk food and caffeine),5-6 days,
20,Male,2.5,45,2.56,2.61,0.5,3.4,Average (Mix of healthy and unhealthy),3-4 days,AIAA
19,Male,4.7,58,3.04,3.07,3.7,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
21,Male,10.0,56,3.71,3.83,0.5,6.4,Average (Mix of healthy and unhealthy),5-6 days,ACM
20,Male,1.9,66,2.89,2.76,1.6,7.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Male,1.4,81,2.41,2.37,6.3,9.3,"Excellent (Well-balanced, fresh food)",1-2 days,
21,Male,0.8,65,2.68,2.59,1.7,6.3,Average (Mix of healthy and unhealthy),3-4 days,AIAA
21,Male,2.9,52,2.58,2.62,0.5,6.8,Average (Mix of healthy and unhealthy),0 days,AIAA
20,Male,7.5,75,2.82,2.83,14.0,5.3,"Excellent (Well-balanced, fresh food)",5-6 days,
22,Male,6.0,41,2.96,3.01,14.0,7.0,Average (Mix of healthy and unhealthy),3-4 days,IEEE
19,Male,0.7,34,2.59,2.63,1.0,6.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,LES
20,Male,0.7,88,2.68,2.9,3.6,7.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
19,Male,0.6,40,2.29,2.18,5.7,4.5,Average (Mix of healthy and unhealthy),0 days,
22,Male,3.8,52,2.92,2.86,6.3,8.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,AIAA
19,Male,0.5,15,2.63,2.64,1.1,5.8,Average (Mix of healthy and unhealthy),1-2 days,AIAA
21,Male,6.2,55,2.72,2.75,14.0,6.5,Very Poor (Highly reliant on junk food and caffeine),5-6 days,LES
19,Male,2.0,46,2.58,2.6,6.9,6.6,Average (Mix of healthy and unhealthy),1-2 days,AIAA
19,Female,1.5,25,2.86,2.76,2.0,6.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,AIAA
21,Male,3.4,98,2.97,2.97,10.7,8.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,ACM
19,Male,0.7,59,2.59,2.46,5.0,6.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Male,8.1,75,3.37,3.28,4.1,9.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
21,Male,1.6,38,2.69,2.61,1.2,6.3,Average (Mix of healthy and unhealthy),1-2 days,IEEE
20,Male,0.7,64,2.94,2.84,1.3,6.7,Average (Mix of healthy and unhealthy),3-4 days,"IEEE, ACM"
22,Male,0.6,55,2.7,2.68,1.7,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,0.5,59,2.51,2.45,1.4,7.3,Very Poor (Highly reliant on junk food and caffeine),3-4 days,
20,Male,2.4,51,2.67,2.7,1.0,6.6,Very Poor (Highly reliant on junk food and caffeine),3-4 days,
20,Female,0.5,52,3.16,3.11,1.2,7.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,AIAA
20,Male,0.8,38,2.99,2.98,0.5,8.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
18,Female,0.5,79,2.84,2.89,1.3,6.2,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,0.5,68,2.77,2.87,1.3,6.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"IEEE, ACM"
22,Female,4.7,15,2.91,2.91,0.5,6.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,IEEE
21,Male,0.5,81,2.84,2.67,2.6,6.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
20,Male,2.0,61,2.35,2.17,5.8,5.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Male,0.8,90,3.13,3.14,0.5,8.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Male,4.8,55,3.17,3.24,6.4,5.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Male,0.8,62,2.44,2.29,0.7,5.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",7 days,
21,Male,9.9,100,3.22,3.27,12.8,7.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
19,Male,0.5,34,2.84,2.91,0.5,6.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Female,0.7,93,2.66,2.66,0.7,4.0,"Excellent (Well-balanced, fresh food)",0 days,LES
21,Male,0.5,43,2.77,2.8,2.8,6.9,Average (Mix of healthy and unhealthy),1-2 days,LES
22,Male,6.8,48,3.08,2.99,0.5,6.4,Average (Mix of healthy and unhealthy),1-2 days,AIAA
